Amino Acids and Derivatives	11.5918
Carbohydrates	12.073
Cell Division and Cell Cycle	0.846835
Cell Wall and Capsule	4.18156
Central metabolism	0.287565
Clustering-based subsystems	5.52842
Cofactors, Vitamins, Prosthetic Groups, Pigments	6.9647
DNA Metabolism	5.39786
Dormancy and Sporulation	0.0985874
Fatty Acids, Lipids, and Isoprenoids	2.89497
Iron acquisition and metabolism	0.382954
Membrane Transport	3.1297
Metabolism of Aromatic Compounds	1.01358
Miscellaneous	3.22336
Motility and Chemotaxis	0.797266
Nitrogen Metabolism	1.30113
Nucleosides and Nucleotides	4.39934
Phages, Prophages, Transposable elements	0.357872
Phages, Prophages, Transposable elements, Plasmids	1.38073
Phosphorus Metabolism	1.47498
Photosynthesis	0.186346
Plant cell walls and outer surfaces	0.00019755
Potassium metabolism	0.661441
Predictions based on plant-prokaryote comparative analysis	0.379572
Protein Metabolism	10.8213
RNA Metabolism	4.41879
Regulation and Cell signaling	1.27028
Respiration	5.8
Secondary Metabolism	0.176423
Stress Response	3.58702
Sulfur Metabolism	1.57274
Transcriptional regulation	0.246799
Virulence	3.38992
Virulence, Disease and Defense	0.162923
