Amino Acids and Derivatives	9.68786
Carbohydrates	15.4694
Cell Division and Cell Cycle	0.711293
Cell Wall and Capsule	6.69626
Central metabolism	0.232647
Clustering-based subsystems	4.98174
Cofactors, Vitamins, Prosthetic Groups, Pigments	5.96273
DNA Metabolism	7.57772
Dormancy and Sporulation	0.188277
Fatty Acids, Lipids, and Isoprenoids	1.79396
Iron acquisition and metabolism	0.504849
Membrane Transport	3.29391
Metabolism of Aromatic Compounds	0.10499
Miscellaneous	3.09328
Motility and Chemotaxis	0.64026
Nitrogen Metabolism	0.73311
Nucleosides and Nucleotides	5.07352
Phages, Prophages, Transposable elements	0.024107
Phages, Prophages, Transposable elements, Plasmids	0.786518
Phosphorus Metabolism	0.886701
Potassium metabolism	0.648647
Predictions based on plant-prokaryote comparative analysis	0.219109
Protein Metabolism	13.7153
RNA Metabolism	5.44535
Regulation and Cell signaling	0.78484
Respiration	3.43425
Secondary Metabolism	0.0307511
Stress Response	2.97093
Sulfur Metabolism	0.836493
Transcriptional regulation	0.310798
Virulence	3.056
Virulence, Disease and Defense	0.104402
